Date,open,high,low,close
11/23/11,0.3254165,0.326354,0.3098955,0.310156
11/25/11,0.3067705,0.317131,0.3031245,0.3031245
11/28/11,0.325312,0.335937,0.325104,0.334427
11/29/11,0.333385,0.341716,0.325833,0.328385
11/30/11,0.35526,0.365677,0.352239,0.3644265
12/1/11,0.3648435,0.375156,0.363906,0.372239
12/2/11,0.383229,0.383489,0.368333,0.3686975
12/5/11,0.386406,0.388854,0.3749995,0.380781
12/6/11,0.382604,0.3854165,0.3744785,0.377864
12/7/11,0.3749995,0.383312,0.363437,0.378437
12/8/11,0.370833,0.3793745,0.3569265,0.3591665
12/9/11,0.3623435,0.379531,0.361406,0.3761975
12/12/11,0.364583,0.3649475,0.3541665,0.363854
12/13/11,0.370781,0.375156,0.34701,0.351562
12/14/11,0.3473435,0.348437,0.3292705,0.335208
12/15/11,0.344687,0.3447915,0.330937,0.332604
12/16/11,0.3380725,0.3510415,0.335833,0.3367705
12/19/11,0.341354,0.3435415,0.3248955,0.3274475
12/20/11,0.3429685,0.3575935,0.3429685,0.35651
12/21/11,0.350417,0.350417,0.3291665,0.3416665
12/22/11,0.3430205,0.3505205,0.342083,0.3499995
12/23/11,0.351979,0.359114,0.3499475,0.359062
12/27/11,0.357708,0.3656245,0.3562495,0.3618225
12/28/11,0.360937,0.362239,0.3467705,0.350208
12/29/11,0.3511975,0.3578645,0.348229,0.357031
12/30/11,0.3549475,0.359562,0.353906,0.3541145
1/3/12,0.374062,0.3798955,0.3717705,0.3742705
1/4/12,0.3724995,0.3805725,0.367708,0.3787495
1/5/12,0.3768225,0.3893225,0.3723955,0.3880725
1/6/12,0.389114,0.3949475,0.3843225,0.392083
1/9/12,0.395312,0.395937,0.3848955,0.3888015
1/10/12,0.401354,0.404479,0.394062,0.3967705
1/11/12,0.3967705,0.402083,0.3925,0.399531
1/12/12,0.402708,0.4057285,0.3935935,0.4042705
1/13/12,0.3980205,0.40014,0.389531,0.399635
1/17/12,0.410833,0.415778,0.4062495,0.410364
1/18/12,0.413333,0.427083,0.410989,0.426666
1/19/12,0.432708,0.4373435,0.430781,0.435208
1/20/12,0.4293745,0.4336455,0.4285935,0.433281
1/23/12,0.4331765,0.4426035,0.426041,0.4332285
1/24/12,0.427708,0.434531,0.425364,0.430833
1/25/12,0.4444265,0.4505205,0.434531,0.447291
1/26/12,0.4530205,0.4554685,0.4363015,0.4425515
1/27/12,0.4399995,0.448854,0.4392705,0.4469265
1/30/12,0.4355205,0.4494785,0.4303955,0.447656
1/31/12,0.454062,0.4567185,0.440911,0.4492185
2/1/12,0.4569265,0.46526,0.4526035,0.46026
2/2/12,0.4647915,0.469166,0.4592705,0.4649995
2/3/12,0.477864,0.4851555,0.475364,0.483489
2/6/12,0.4780205,0.4830725,0.474687,0.4830205
2/7/12,0.4817705,0.488437,0.475208,0.4851035
2/8/12,0.485833,0.4931765,0.480588,0.4931765
2/9/12,0.498541,0.5057285,0.490156,0.504114
2/10/12,0.493437,0.4974995,0.4882285,0.493333
2/13/12,0.5043745,0.508906,0.4979685,0.506635
2/14/12,0.5037495,0.511041,0.4986455,0.511041
2/15/12,0.518385,0.526718,0.4979685,0.499635
2/16/12,0.5011455,0.5226035,0.4970305,0.5205205
2/17/12,0.520989,0.522239,0.5093745,0.516093
2/21/12,0.5180725,0.527083,0.5106245,0.520468
2/22/12,0.517291,0.5218225,0.511093,0.513593
2/23/12,0.515364,0.5249475,0.507812,0.523333
2/24/12,0.527708,0.53151,0.524916,0.528437
2/27/12,0.5193745,0.536041,0.5132805,0.530989
2/28/12,0.532083,0.5468745,0.5304685,0.5468745
2/29/12,0.548541,0.5536455,0.534687,0.539687
3/1/12,0.545989,0.554114,0.5411975,0.552812
3/2/12,0.550937,0.556666,0.5461455,0.5511455
3/5/12,0.5505725,0.552343,0.528854,0.533958
3/6/12,0.518958,0.5218745,0.5101035,0.5186455
3/7/12,0.525833,0.5338535,0.523541,0.530416
3/8/12,0.5394265,0.552083,0.536458,0.547239
3/9/12,0.550468,0.557239,0.549166,0.5538535
3/12/12,0.5531765,0.556718,0.546718,0.554739
3/13/12,0.5644785,0.586093,0.5607805,0.585989
3/14/12,0.5877075,0.5986975,0.581458,0.5925515
3/15/12,0.5974475,0.6007805,0.5886975,0.5970825
3/16/12,0.5999995,0.6001035,0.5918225,0.5957805
3/19/12,0.5987495,0.61276,0.5945305,0.6087495
3/20/12,0.5994265,0.61401,0.594489,0.6120825
3/21/12,0.6126555,0.622187,0.609635,0.6118745
3/22/12,0.600963,0.6124475,0.6006245,0.6081765
3/23/12,0.6105725,0.6109885,0.5968745,0.607343
3/26/12,0.618645,0.639062,0.617968,0.639062
3/27/12,0.639739,0.6495825,0.6394785,0.64151
3/28/12,0.6427075,0.6500515,0.6227075,0.63401
3/29/12,0.6250515,0.633796,0.613385,0.6274995
3/30/12,0.635416,0.636145,0.6157025,0.6231245
4/2/12,0.6214055,0.6449995,0.618218,0.6421345
4/3/12,0.6449475,0.650885,0.6311975,0.642187
4/4/12,0.627135,0.628541,0.6049475,0.615989
4/5/12,0.6126035,0.628778,0.611041,0.627239
4/9/12,0.603385,0.6206245,0.6005725,0.612812
4/10/12,0.611666,0.619166,0.5776035,0.5832285
4/11/12,0.5993745,0.603385,0.587343,0.591666
4/12/12,0.5951555,0.6139525,0.592968,0.61151
4/13/12,0.605364,0.605885,0.5833855,0.583869
4/16/12,0.593593,0.5939055,0.5593745,0.565468
4/17/12,0.5724995,0.604213,0.5693745,0.5988015
4/18/12,0.593437,0.604739,0.5889525,0.5944265
4/19/12,0.5881765,0.6093745,0.567968,0.575208
4/20/12,0.583541,0.5913535,0.5670305,0.56901
4/23/12,0.5543745,0.55651,0.5388015,0.554687
4/24/12,0.5511975,0.5576555,0.5380725,0.5448955
4/25/12,0.5787495,0.58927,0.5761455,0.5881765
4/26/12,0.587343,0.60276,0.585937,0.5986975
4/27/12,0.606041,0.61526,0.596718,0.6089575
4/30/12,0.603541,0.6074475,0.5949995,0.5963015
5/1/12,0.59302,0.619218,0.592239,0.599687
5/2/12,0.5899995,0.605832,0.586614,0.603645
5/3/12,0.6057285,0.6069265,0.5807285,0.584895
5/4/12,0.5689055,0.571614,0.541666,0.5419785
5/7/12,0.531666,0.5506765,0.531093,0.54276
5/8/12,0.5323435,0.542291,0.5106765,0.5367705
5/9/12,0.518489,0.5405725,0.51151,0.5338015
5/10/12,0.539114,0.539583,0.5224995,0.528333
5/11/12,0.5219785,0.5451035,0.5217705,0.527812
5/14/12,0.5151035,0.5257285,0.5111455,0.5132285
5/15/12,0.519062,0.5302075,0.505833,0.5087495
5/16/12,0.514166,0.5183325,0.4951035,0.497708
5/17/12,0.498541,0.500729,0.4668745,0.467083
5/18/12,0.471458,0.474583,0.447187,0.448333
5/21/12,0.450937,0.487186,0.4494785,0.486041
5/22/12,0.489687,0.4961455,0.4735415,0.4842705
5/23/12,0.472291,0.4907285,0.459687,0.4869785
5/24/12,0.489583,0.4907285,0.466666,0.4782285
5/25/12,0.479062,0.481354,0.4713535,0.4755205
5/29/12,0.489062,0.500415,0.4807285,0.493212
5/30/12,0.480208,0.486458,0.472188,0.4812495
5/31/12,0.4795825,0.4831245,0.464062,0.4743745
6/1/12,0.449791,0.4579165,0.436666,0.437083
6/4/12,0.440937,0.448958,0.429062,0.446458
6/5/12,0.4423955,0.4549995,0.4417705,0.4526035
6/6/12,0.4631245,0.484583,0.461458,0.483541
6/7/12,0.4980205,0.498541,0.476459,0.4781245
6/8/12,0.4751035,0.493541,0.4706275,0.492187
6/11/12,0.5023955,0.5037485,0.465937,0.4686455
6/12/12,0.4724995,0.4842705,0.464062,0.483437
6/13/12,0.479687,0.4905205,0.4686455,0.473958
6/14/12,0.473437,0.4843745,0.465937,0.47927
6/15/12,0.4826035,0.4986455,0.482291,0.496979
6/18/12,0.4914575,0.514265,0.488437,0.509791
6/19/12,0.5183325,0.532916,0.5176035,0.526562
6/20/12,0.5294785,0.5344685,0.5157285,0.528437
6/21/12,0.5263535,0.528437,0.4867705,0.4888535
6/22/12,0.492812,0.5057285,0.489484,0.504062
6/25/12,0.4911265,0.491666,0.470312,0.474156
6/26/12,0.478958,0.487395,0.472708,0.4833745
6/27/12,0.4888535,0.498541,0.487395,0.492187
6/28/12,0.480833,0.482083,0.460416,0.4744785
6/29/12,0.5031245,0.520833,0.498437,0.520833
7/2/12,0.522395,0.526041,0.513542,0.5249995
7/3/12,0.525937,0.5383325,0.523541,0.5374995
7/5/12,0.537083,0.547291,0.528333,0.5393745
7/6/12,0.532187,0.5331245,0.50801,0.5181245
7/9/12,0.5174995,0.522812,0.508854,0.516354
7/10/12,0.5248955,0.5286455,0.495312,0.5005205
7/11/12,0.499583,0.503332,0.4806245,0.4936455
7/12/12,0.481562,0.4848955,0.465729,0.4793745
7/13/12,0.4830205,0.503958,0.482083,0.500208
7/16/12,0.4974995,0.5038535,0.4906255,0.496458
7/17/12,0.5055205,0.509166,0.4829215,0.5040935
7/18/12,0.500937,0.529166,0.500833,0.524583
7/19/12,0.535833,0.5468745,0.532812,0.541666
7/20/12,0.5420825,0.5420825,0.519791,0.520833
7/23/12,0.490208,0.5070825,0.4787495,0.501562
7/24/12,0.5043745,0.5063535,0.480312,0.4901035
7/25/12,0.4788535,0.4893745,0.471041,0.479166
7/26/12,0.500729,0.507292,0.4898965,0.497916
7/27/12,0.509583,0.5367705,0.505208,0.5356245
7/30/12,0.538437,0.545208,0.5276035,0.5323955
7/31/12,0.5356245,0.5416765,0.531041,0.532708
8/1/12,0.5437495,0.544061,0.5218745,0.5274995
8/2/12,0.5151035,0.537812,0.510541,0.5219785
8/3/12,0.5474995,0.562916,0.54177,0.551666
8/6/12,0.5607285,0.571562,0.55708,0.564062
8/7/12,0.5724995,0.5852075,0.569166,0.5780205
8/8/12,0.5737495,0.5813535,0.5711455,0.5770825
8/9/12,0.577291,0.584895,0.5742705,0.5819785
8/10/12,0.577187,0.5843745,0.572187,0.5843745
8/13/12,0.5839575,0.587916,0.5744785,0.587916
8/14/12,0.5945825,0.5981245,0.5838535,0.5887495
8/15/12,0.587291,0.5956245,0.5868745,0.592916
8/16/12,0.6001035,0.618541,0.5976245,0.614166
8/17/12,0.6182285,0.6226035,0.61427,0.6226035
8/20/12,0.6214575,0.625416,0.6139575,0.6249995
8/21/12,0.631041,0.6377765,0.610416,0.617812
8/22/12,0.6131245,0.629062,0.608541,0.6244785
8/23/12,0.6174995,0.6227075,0.605208,0.6106245
8/24/12,0.605416,0.6258325,0.602812,0.6214575
8/27/12,0.6295825,0.63177,0.6202075,0.6244785
8/28/12,0.6224995,0.6293745,0.6164575,0.6243745
8/29/12,0.6251035,0.629166,0.616562,0.624583
8/30/12,0.6162495,0.6168745,0.602513,0.60552
8/31/12,0.6187495,0.6252075,0.5992715,0.618437
9/4/12,0.614687,0.622395,0.5973955,0.6158325
9/5/12,0.6144785,0.6224995,0.608645,0.6130205
9/6/12,0.6248955,0.654791,0.624583,0.653541
9/7/12,0.6502075,0.654895,0.646145,0.6507285
9/10/12,0.64677,0.65052,0.625312,0.62677
9/11/12,0.6264575,0.6339575,0.6206245,0.624062
9/12/12,0.6301035,0.634062,0.6176035,0.6294785
9/13/12,0.631145,0.662812,0.628541,0.654593
9/14/12,0.6624995,0.679166,0.661041,0.6713535
9/17/12,0.673541,0.673541,0.665624,0.6726035
9/18/12,0.6674995,0.675311,0.6674995,0.6738535
9/19/12,0.6745825,0.683437,0.668541,0.6783325
9/20/12,0.668437,0.67802,0.6632285,0.67677
9/21/12,0.686666,0.68802,0.6749995,0.67677
9/24/12,0.659791,0.6683325,0.6557285,0.66427
9/25/12,0.670312,0.6744785,0.635937,0.6376035
9/26/12,0.6339575,0.635295,0.611666,0.620833
9/27/12,0.62552,0.6512495,0.6227075,0.647187
9/28/12,0.640208,0.6463535,0.629166,0.631666
10/1/12,0.6406245,0.6517705,0.6220825,0.6289575
10/2/12,0.636666,0.6420825,0.6189575,0.63302
10/3/12,0.6387495,0.648645,0.631041,0.64501
10/4/12,0.6494785,0.6576035,0.6426035,0.6524995
10/5/12,0.6620825,0.6645825,0.6368745,0.6412495
10/8/12,0.6307285,0.6344785,0.619687,0.62427
10/9/12,0.618645,0.61927,0.5899995,0.592187
10/10/12,0.594166,0.5987495,0.582291,0.5849995
10/11/12,0.599166,0.5994785,0.5787495,0.579791
10/12/12,0.580416,0.5888535,0.575833,0.579687
10/15/12,0.5857285,0.5938535,0.575208,0.5912495
10/16/12,0.5944785,0.6187495,0.5938535,0.6169785
10/17/12,0.607291,0.6213535,0.604792,0.6151035
10/18/12,0.609687,0.61552,0.5874995,0.594062
10/19/12,0.5920825,0.59302,0.5494785,0.5511455
10/22/12,0.5499995,0.5642705,0.547083,0.559791
10/23/12,0.546666,0.558333,0.5388535,0.5432285
10/24/12,0.5532285,0.555919,0.535833,0.537812
10/25/12,0.5495825,0.5518745,0.5332285,0.537812
10/26/12,0.538541,0.5493745,0.5256245,0.543437
10/31/12,0.5411455,0.543541,0.527083,0.532916
11/1/12,0.5426035,0.5586455,0.538437,0.5555205
11/2/12,0.5630205,0.5638535,0.535208,0.535208
11/5/12,0.5382285,0.5512495,0.5343745,0.548333
11/6/12,0.5507285,0.5623955,0.5449995,0.551666
11/7/12,0.5339575,0.535416,0.505312,0.512083
11/8/12,0.5156245,0.5198955,0.4881245,0.4881245
11/9/12,0.4888535,0.5098955,0.487916,0.493437
11/12/12,0.502812,0.5042705,0.489687,0.494166
11/13/12,0.4826035,0.4976035,0.478958,0.483437
11/14/12,0.490312,0.492083,0.464166,0.4661455
11/15/12,0.467187,0.472187,0.456562,0.461979
11/16/12,0.4624995,0.471458,0.4456245,0.467187
11/19/12,0.482812,0.502031,0.4824995,0.500833
11/20/12,0.500729,0.503437,0.4869785,0.500937
11/21/12,0.502291,0.506666,0.4967705,0.5044785
11/23/12,0.5136455,0.5276035,0.512291,0.5276035
11/26/12,0.523958,0.5348955,0.5187495,0.5343745
11/27/12,0.533333,0.539583,0.5262495,0.528333
11/28/12,0.5210305,0.543541,0.5113535,0.5424995
11/29/12,0.551041,0.55776,0.544062,0.5518755
11/30/12,0.552083,0.553541,0.5444785,0.549895
12/3/12,0.5623955,0.5636455,0.5455205,0.547187
12/4/12,0.5473955,0.548437,0.5343745,0.5436455
12/5/12,0.542916,0.5430205,0.5180725,0.5268745
12/6/12,0.522083,0.541239,0.517708,0.536562
12/7/12,0.545416,0.546769,0.522187,0.5273955
12/10/12,0.523437,0.540208,0.5231245,0.532083
12/11/12,0.544062,0.5618745,0.5418745,0.5526035
12/12/12,0.5612495,0.5614575,0.544791,0.5488535
12/13/12,0.5462495,0.5576035,0.5292705,0.536458
12/14/12,0.5262495,0.53052,0.5156245,0.5212495
12/17/12,0.522083,0.5420825,0.5201975,0.541562
12/18/12,0.549895,0.569062,0.5455205,0.566666
12/19/12,0.5712495,0.5718745,0.5581245,0.558541
12/20/12,0.562083,0.562916,0.5507285,0.558958
12/21/12,0.5332285,0.543437,0.526041,0.541562
12/24/12,0.5387495,0.5396765,0.5344785,0.5369785
12/26/12,0.5386455,0.5407285,0.518958,0.5242705
12/27/12,0.5251035,0.527291,0.5019775,0.5213535
12/28/12,0.5106245,0.5218745,0.5062495,0.5062495
12/31/12,0.5038535,0.5418745,0.501666,0.5392705
1/2/13,0.5781245,0.590416,0.5720935,0.589583
1/3/13,0.5894785,0.593437,0.575312,0.581041
1/4/13,0.581458,0.581458,0.571041,0.575312
1/7/13,0.570312,0.5781245,0.5652075,0.575937
1/8/13,0.575208,0.579583,0.5631245,0.5726035
1/9/13,0.5744785,0.5830205,0.5732285,0.578437
1/10/13,0.5898965,0.5917075,0.572916,0.588645
1/11/13,0.58802,0.5919785,0.584687,0.5908325
1/14/13,0.581458,0.5881245,0.575834,0.5832285
1/15/13,0.575208,0.577187,0.567083,0.574583
1/16/13,0.577916,0.5874995,0.574269,0.581041
1/17/13,0.5888535,0.596666,0.585833,0.5899995
1/18/13,0.5842715,0.5877075,0.5780205,0.586666
1/22/13,0.5882285,0.5897975,0.577187,0.589072
1/23/13,0.598541,0.604687,0.596041,0.598645
1/24/13,0.575208,0.5912495,0.572187,0.574791
1/25/13,0.5807285,0.588541,0.5770825,0.583333
1/28/13,0.584062,0.593333,0.581666,0.5874995
1/29/13,0.5851025,0.591416,0.573593,0.5874995
1/30/13,0.5913535,0.5958325,0.5798955,0.58427
1/31/13,0.583333,0.592395,0.578437,0.5805205
2/1/13,0.592291,0.603541,0.5852075,0.5995825
2/4/13,0.5894785,0.5951035,0.5687495,0.569062
2/5/13,0.5761455,0.5993745,0.5726025,0.594062
2/6/13,0.58802,0.5963755,0.5832285,0.588541
2/7/13,0.590312,0.5919785,0.5707285,0.5899995
2/8/13,0.599468,0.61177,0.5981245,0.607916
2/11/13,0.6092705,0.609984,0.6026035,0.6077075
2/12/13,0.606666,0.609791,0.5993745,0.6006245
2/13/13,0.606041,0.614166,0.601892,0.6076035
2/14/13,0.59927,0.6095825,0.5980215,0.6063535
2/15/13,0.607187,0.611145,0.5964575,0.6011455
2/19/13,0.605416,0.614895,0.6044785,0.61427
